"","Cidade","UF","Sexo","Idade","Peso","Altura","Curso","Opção.ENEM","Nota.ENEM","Idade.da.Escolha.do.Curso","Gosto.pela.Área.de.Exatas"
"1","Limoeiro do Norte","CE","Feminino",17,40.2,1.61,"Engenharia Mecânica","Sim","671.9",17,3
"2","Aracati","CE","Feminino",17,100,1.6,"Engenharia de Produção","Sim",NA,16,5
"3","Limoeiro do Norte","CE","Masculino",19,60,1.65,"Engenharia de Produção","Não","622.2",19,3
"4","Quixadá","CE","Masculino",20,80.3,1.73,"Engenharia Mecânica","Sim","624.8",16,5
"5","Russas","CE","Masculino",17,59,1.68,"Engenharia Mecânica","Sim","705.5",16,4
"6","Limoeiro do Norte","CE","Masculino",19,75,180,"Engenharia de Software","Sim","648",17,5
"7","Jaguaribe","CE","Masculino",18,63,1.75,"Engenharia de Produção","Sim",NA,15,4
"8","Jaguaruana","CE","Feminino",18,57,1.53,"Engenharia de Produção","Sim","570",17,4
"9","Fortaleza","CE","Feminino",19,74,1.65,"Engenharia de Produção","Sim",NA,15,5
"10","Russas","CE","Masculino",20,73,1.7,"Engenharia Mecânica","Sim",NA,17,5
"11","Russas","CE","Masculino",20,77,1.93,"Engenharia de Produção","Sim",NA,19,4
"12","Jaguaruana","CE","Masculino",19,76.3,1.72,"Engenharia Mecânica","Sim","643.2",19,4
"13","Quixadá","CE","Masculino",18,74,1.64,"Engenharia Mecânica","Sim","655",16,5
"14","Russas","CE","Feminino",19,63,1.64,"Ciência da Computação","Sim","560",17,4
"15","Limoeiro do Norte","CE","Masculino",17,55,1.72,"Engenharia de Produção","Sim","652.76",16,5
"16","Russas","CE","Masculino",43,43,1.60,"Engenharia Mecânica","Sim","597",43,4
"17","Tejuçuoca","CE","Masculino",18,70,1.70,"Engenharia Mecânica","Sim","652.2",12,5
"18","Jaguaruana","CE","Masculino",19,90,1.82,"Engenharia de Produção","Sim","645.4",18,4
"19","Quixadá","CE","Masculino",20,80.3,1.73,"Engenharia Mecânica","Sim","624.8",16,5
"20","Tabuleiro do Norte","CE","Masculino",18,66,1.73,"Engenharia Mecânica","Sim","648.4",17,5
"21","Russas","CE","Masculino",18,45,1.78,"Engenharia Mecânica","Sim","664.94",17,5
"22","Russas","CE","Masculino",18,45,1.78,"Engenharia Mecânica","Sim","664.94",17,5
"23","Paracuru","CE","Masculino",19,80,1.72,"Engenharia Mecânica","Não","670",17,5
"24","Morada Nova","CE","Masculino",18,70.2,1.75,"Engenharia Mecânica","Não","720.3",17,5
"25","Limoeiro do Norte","CE","Masculino",18,50,1,"Engenharia Mecânica","Sim","646.5",17,5
"26","Crateús","CE","Masculino",18,58,1.80,"Engenharia Mecânica","Sim",NA,17,5
"27","Paracuru","CE","Masculino",18,52,1.70,"Engenharia Mecânica","Sim","621",16,5
"28","Marco","CE","Masculino",19,59,1.78,"Engenharia de Software","Não","660",18,5
"29","Fortaleza","CE","Masculino",19,75,1.8,"Engenharia de Produção","Sim",NA,17,3
"30","Tabuleiro do Norte","CE","Masculino",18,70,1.70,"Engenharia Mecânica","Sim",NA,15,4
"31","Russas","CE","Masculino",18,73,1.93,"Engenharia Mecânica","Sim","651",18,4
"32","Itarema","CE","Feminino",18,67.88,1.65,"Engenharia Mecânica","Sim","653",17,4
"33","Limoeiro do Norte","CE","Masculino",22,71,1.87,"Engenharia Mecânica","Sim","644",21,5
"34","Quixadá","CE","Masculino",17,49,1.76,"Engenharia Mecânica","Não","694.94",17,5
"35","Fortaleza","CE","Masculino",19,75,1.65,"Engenharia Mecânica","Sim","670",18,4
"36","Quixadá","CE","Masculino",18,64,1.64,"Engenharia Mecânica","Sim","655",16,5
"37","Aracoiaba","CE","Feminino",18,50,1.65,"Engenharia de Produção","Sim","592.16",18,4
"38","Aracoiaba","CE","Feminino",18,50,1.65,"Engenharia de Produção","Sim","592.16",18,4
"39","Limoeiro do Norte","CE","Feminino",19,59,1.6,"Engenharia de Produção","Sim","667",18,4
"40","Morada Nova","CE","Masculino",18,64,1.56,"Engenharia Mecânica","Sim","696",17,4
"41","Morada Nova","CE","Masculino",19,87,1.8,"Engenharia Mecânica","Sim",NA,15,4
"42","Russas","CE","Feminino",20,50,1.65,"Engenharia Mecânica","Sim",NA,19,3
"43","Jaguaruana","CE","Masculino",18,70,1.75,"Engenharia de Produção","Sim","614.66",17,3
"44","Sobral","CE","Masculino",20,74,1.83,"Engenharia Mecânica","Sim",NA,17,4
"45","Jaguaruana","CE","Masculino",23,115,1.78,"Engenharia de Software","Não",NA,16,3
"46","Palhano","CE","Feminino",20,59.8,1.61,"Engenharia de Produção","Sim","592.4",17,5
"47","Russas","CE","Masculino",18,61,1.76,"Engenharia Mecânica","Sim","619",17,5
"48","Canindé","CE","Masculino",20,80,1.73,"Engenharia Mecânica","Sim","650",13,5
"49","Russas","CE","Feminino",19,50,1.63,"Ciência da Computação","Sim","765.28",17,5
"50","Fortaleza","CE","Masculino",19,75,1.65,"Engenharia Mecânica","Sim","670",18,4
"51","Russas","CE","Masculino",18,69,1.83,"Ciência da Computação","Não","639.5",17,4
"52","Jaguaruana","CE","Masculino",18,63,1.78,"Engenharia Mecânica","Sim","684.5",16,4
"53","Alto Santo","CE","Masculino",18,50,1.70,"Engenharia de Produção","Sim","621",15,4
"54","Jaguaruna","CE","Feminino",17,51,1.63,"Engenharia de Produção","Sim","588",17,3
"55","fortaleza","CE","Masculino",19,65,1.72,"Engenharia Mecânica","Sim","666",14,5
"56","fortaleza","CE","Masculino",19,65,1.70,"Ciência da Computação","Sim","615",17,5
"57","Tabuleiro do Norte","CE","Feminino",20,60,154,"Engenharia de Software","Sim",NA,17,2
"58","Russas","CE","Feminino",18,52,151,"Ciência da Computação","Não","657",17,3
"59","Boa Viagem","CE","Masculino",23,89,178,"Ciência da Computação","Sim","602",22,5
"60","Russas","CE","Masculino",18,73,193,"Engenharia Mecânica","Sim","651",18,4
"61","Quixadá","CE","Masculino",17,49,176,"Engenharia Mecânica","Não","694.94",17,5
"62","Itaitinga","CE","Masculino",19,77,185,"Engenharia de Produção","Não","624",18,3
"63","Russas","CE","Masculino",20,58,1.7,"Engenharia de Software","Sim","750",18,3
"64","Palhano","CE","Feminino",18,61,162,"Engenharia de Produção","Não",NA,18,4
"65","jaguarua","CE","Feminino",21,61,156,"Engenharia de Software","Sim","680",18,3
"66","Tejuçuoca","CE","Masculino",18,70,170,"Engenharia Mecânica","Sim","652.2",12,5
"67","Tejuçuoca","CE","Masculino",18,70,170,"Engenharia Mecânica","Sim","652.2",12,5
"68","Morada Nova","CE","Masculino",18,59,1.72,"Engenharia Mecânica","Sim","651.3",17,5
"69","São Benedito","CE","Masculino",18,61,1.7,"Engenharia Mecânica","Não","622.3",18,5
"70","fortaleza","CE","Masculino",19,72,173,"Ciência da Computação","Sim","Não lembro",17,5
"71","fortaleza","CE","Masculino",19,80,171,"Engenharia de Software","Sim","671",17,5
"72","Jaguaruana","CE","Feminino",22,50,156,"Engenharia de Software","Sim","627.8",19,3
"73","Russas","CE","Masculino",28,80,165,"Ciência da Computação","Sim",NA,26,5
"74","Santa Catarina","CE","Masculino",20,77,1.69,"Engenharia Mecânica","Sim","670",16,4
"75","Russas","CE","Masculino",18,75,1.85,"Engenharia de Software","Sim","640",16,3
"76","São Paulo","SP","Feminino",18,51,1.60,"Engenharia Civil","Sim","676.14",14,5
"77","Tabuleiro do Norte","CE","Masculino",18,66,1.73,"Engenharia Mecânica","Sim","648.04",17,5
"78","Russas","CE","Masculino",19,79,1.65,"Engenharia Mecânica","Sim",NA,15,5
"79","Baraúna","RN","Feminino",21,61,1.59,"Engenharia de Produção","Sim","640",19,3
