KM N_Acidentes Raio "Ângulo Central" Desenvolvimento Superelevação
53,11 6 260,00 34,18 75,124 7,99
53,43 5 260,00 29,90 55,697 7,99
55,76 0 5000,00 0,21 18,249 0,78
57,99 2 2300,00 3,27 131,249 1,64
58,16 0 1300,00 10,85 186,098 2,78
58,47 1 900,00 7,58 59,152 3,83
63,65 6 1900,00 5,36 177,763 1,97
63,92 48 1050,00 25,44 406,306 3,36
64,78 17 550,00 23,50 165,634 5,62
65,29 7 870,00 37,01 501,913 3,94
66,54 4 645,10 15,10 170,005 5,00
67,36 4 495,10 9,41 81,285 6,04
67,86 0 1004,90 7,13 125,115 3,49
68,81 12 1500,00 5,93 95,209 2,44
69,04 3 1500,00 9,75 195,303 2,44
69,36 3 1500,00 3,78 39,047 2.44
70,55 2 1700,00 2,98 28,355 2,18
70,81 2 1700,00 3,08 31,483 2,18
88,88 3 850,00 12,29 122,297 4,01
89,46 6 500,00 34,08 227,415 6,00
90,84 5 224,90 32,98 69,458 7,90
92,24 0 275,10 21,87 45,014 7,93
93,55 4 352,10 46,72 207,082 7,33
95,19 0 395,10 14,18 97,820 6,92
96,09 0 395,10 9,83 67,821 6,92
98,05 1 284,90 26,91 73,832 7,88
99,84 0 245,00 22,39 95,752 8,00
100,15 0 289,90 26,12 132,161 7,85
100,54 1 284,90 35,55 116,796 7,88
101,04 1 251,10 49,67 137,662 8,00
102,45 0 1704,90 5,89 175,147 2,17
103,17 0 1295,10 10,53 238,029 2,79
104,42 0 1304,90 4,86 110,656 2,77
109,84 2 569,90 35,48 252,868 5,48
110,61 2 510,10 34,45 226,727 5,92
112,33 0 1804,90 3,57 112,328 2,06
112,53 0 795,10 4,25 58,960 4,24
113,18 1 454,90 15,59 123,811 6,38
